candidate,nn_distance,status,nearest_real_image_id
205,0.6374,selected,ISIC_0032941
1327,0.5906,selected,ISIC_0027216
1961,0.5327,selected,ISIC_0033810
969,0.5418,selected,ISIC_0033810
1551,0.5436,selected,ISIC_0027216
1541,0.484,selected,ISIC_0027216
1786,0.6598,selected,ISIC_0033810
12,0.5974,selected,ISIC_0030021
1731,0.5817,selected,ISIC_0033005
1653,0.627,selected,ISIC_0029130
905,0.5002,selected,ISIC_0027216
835,0.6241,selected,ISIC_0029052
1355,0.6175,selected,ISIC_0030015
188,0.668,selected,ISIC_0027216
751,0.6742,selected,ISIC_0025911
1090,0.5477,selected,ISIC_0025771
790,0.5768,selected,ISIC_0033554
1476,0.6449,selected,ISIC_0027216
247,0.6177,selected,ISIC_0025622
850,0.5318,selected,ISIC_0029177
40,0.5733,selected,ISIC_0031257
261,0.6161,selected,ISIC_0033005
1305,0.5417,selected,ISIC_0027216
1037,0.6265,selected,ISIC_0027216
242,0.6061,selected,ISIC_0032941
378,0.5857,selected,ISIC_0033810
1158,0.5872,selected,ISIC_0027216
1035,0.5949,selected,ISIC_0031799
1001,0.5822,selected,ISIC_0031257
827,0.5939,selected,ISIC_0027216
1870,0.6096,selected,ISIC_0028790
1249,0.5742,selected,ISIC_0027216
1727,0.5877,selected,ISIC_0031257
1358,0.6137,selected,ISIC_0029130
1828,0.6255,selected,ISIC_0025771
700,0.6121,selected,ISIC_0028346
641,0.6538,selected,ISIC_0029130
540,0.6437,selected,ISIC_0026473
1930,0.6787,selected,ISIC_0027188
702,0.6216,selected,ISIC_0024330
1400,0.6191,selected,ISIC_0033554
182,0.6083,selected,ISIC_0025911
1270,0.6317,selected,ISIC_0033554
1633,0.634,selected,ISIC_0025911
1054,0.5926,selected,ISIC_0033554
1677,0.5949,selected,ISIC_0033695
639,0.6698,selected,ISIC_0034169
230,0.5562,selected,ISIC_0032941
765,0.5555,selected,ISIC_0027216
1794,0.57,selected,ISIC_0029052
1755,0.5799,selected,ISIC_0034169
1927,0.6289,selected,ISIC_0033554
1699,0.6577,selected,ISIC_0030015
217,0.5588,selected,ISIC_0031799
1492,0.647,selected,ISIC_0027216
1135,0.6204,selected,ISIC_0030321
1761,0.5125,selected,ISIC_0030870
935,0.6378,selected,ISIC_0032114
1629,0.6481,selected,ISIC_0030021
994,0.4833,selected,ISIC_0027216
960,0.5251,selected,ISIC_0031257
564,0.6605,selected,ISIC_0030015
1950,0.6583,selected,ISIC_0024330
1523,0.6735,selected,ISIC_0031257
1059,0.5701,selected,ISIC_0027216
616,0.6176,selected,ISIC_0027216
1667,0.6378,selected,ISIC_0028790
169,0.5614,selected,ISIC_0028790
962,0.5823,selected,ISIC_0030021
1148,0.5306,selected,ISIC_0027216
34,0.6114,selected,ISIC_0029297
409,0.6086,selected,ISIC_0033810
1881,0.5755,selected,ISIC_0031257
468,0.577,selected,ISIC_0027216
1802,0.6554,selected,ISIC_0027598
1756,0.5726,selected,ISIC_0031799
565,0.5988,selected,ISIC_0027216
1520,0.6666,selected,ISIC_0028790
1205,0.6225,selected,ISIC_0028790
1241,0.6344,selected,ISIC_0034169
934,0.6246,selected,ISIC_0027216
995,0.5816,selected,ISIC_0027216
459,0.5405,selected,ISIC_0033554
1347,0.613,selected,ISIC_0027216
284,0.6021,selected,ISIC_0027216
1482,0.6363,selected,ISIC_0031257
345,0.5141,selected,ISIC_0027216
801,0.5826,selected,ISIC_0025911
1109,0.5847,selected,ISIC_0025373
1142,0.5084,selected,ISIC_0027216
1657,0.6277,selected,ISIC_0030015
1226,0.5067,selected,ISIC_0027216
756,0.5749,selected,ISIC_0033554
1216,0.6442,selected,ISIC_0031257
526,0.5969,selected,ISIC_0027216
1893,0.6414,selected,ISIC_0027216
953,0.6254,selected,ISIC_0028790
1508,0.6113,selected,ISIC_0025911
760,0.5966,selected,ISIC_0028346
490,0.6097,selected,ISIC_0028790
1325,0.6165,selected,ISIC_0033810
1940,0.5328,selected,ISIC_0027216
