candidate,nn_distance,status,nearest_real_image_id
206,0.675,selected,ISIC_0032932
1326,0.6063,selected,ISIC_0031276
1170,0.5698,selected,ISIC_0025578
970,0.628,selected,ISIC_0024375
455,0.5285,selected,ISIC_0029889
1521,0.6322,selected,ISIC_0030770
1785,0.6265,selected,ISIC_0029889
13,0.5551,selected,ISIC_0032919
1720,0.6301,selected,ISIC_0033991
1635,0.6451,selected,ISIC_0031270
907,0.6141,selected,ISIC_0033135
843,0.5317,selected,ISIC_0032538
1355,0.5604,selected,ISIC_0033991
193,0.6509,selected,ISIC_0027256
752,0.5514,selected,ISIC_0024370
1938,0.5926,selected,ISIC_0031648
782,0.6542,selected,ISIC_0024747
1226,0.5603,selected,ISIC_0033991
248,0.5671,selected,ISIC_0031346
857,0.6072,selected,ISIC_0032890
39,0.6207,selected,ISIC_0032890
268,0.5701,selected,ISIC_0030770
1309,0.5515,selected,ISIC_0031346
1039,0.6337,selected,ISIC_0027256
240,0.5546,selected,ISIC_0030770
387,0.6198,selected,ISIC_0027856
1481,0.5971,selected,ISIC_0029099
1038,0.6489,selected,ISIC_0032890
1005,0.5593,selected,ISIC_0033991
830,0.6211,selected,ISIC_0032890
1861,0.5871,selected,ISIC_0033991
1252,0.513,selected,ISIC_0031346
1717,0.6296,selected,ISIC_0028714
1836,0.6489,selected,ISIC_0031648
1825,0.5968,selected,ISIC_0031276
699,0.5633,selected,ISIC_0031346
636,0.6311,selected,ISIC_0031276
547,0.6679,selected,ISIC_0027522
1923,0.5894,selected,ISIC_0032890
702,0.5628,selected,ISIC_0033991
1853,0.6222,selected,ISIC_0031197
187,0.57,selected,ISIC_0028714
1273,0.5925,selected,ISIC_0030770
726,0.6308,selected,ISIC_0032932
1658,0.5624,selected,ISIC_0025924
1663,0.6202,selected,ISIC_0029889
634,0.6221,selected,ISIC_0029889
231,0.604,selected,ISIC_0031648
759,0.5,selected,ISIC_0033991
1789,0.4945,selected,ISIC_0031759
1751,0.6622,selected,ISIC_0026163
1920,0.5973,selected,ISIC_0032890
994,0.5661,selected,ISIC_0033254
216,0.6554,selected,ISIC_0033991
1489,0.5887,selected,ISIC_0032715
1137,0.5796,selected,ISIC_0033450
1286,0.6063,selected,ISIC_0032890
932,0.5755,selected,ISIC_0032890
1619,0.5363,selected,ISIC_0033991
996,0.5777,selected,ISIC_0032890
1922,0.5868,selected,ISIC_0032715
571,0.6506,selected,ISIC_0031955
1945,0.5585,selected,ISIC_0032890
1512,0.515,selected,ISIC_0033817
1064,0.5551,selected,ISIC_0025680
612,0.5879,selected,ISIC_0024706
1651,0.5565,selected,ISIC_0032538
176,0.5589,selected,ISIC_0027888
959,0.6209,selected,ISIC_0031648
1148,0.5136,selected,ISIC_0033817
35,0.6671,selected,ISIC_0027672
414,0.5516,selected,ISIC_0024706
277,0.6376,selected,ISIC_0024706
476,0.5913,selected,ISIC_0026163
1800,0.4816,selected,ISIC_0033991
1808,0.6291,selected,ISIC_0033991
1786,0.5165,selected,ISIC_0033135
1504,0.5886,selected,ISIC_0028680
1208,0.6012,selected,ISIC_0032867
1238,0.6114,selected,ISIC_0030770
930,0.6489,selected,ISIC_0031276
1716,0.5322,selected,ISIC_0029889
467,0.4728,selected,ISIC_0033991
1354,0.5902,selected,ISIC_0032890
292,0.5575,selected,ISIC_0026163
1475,0.6102,selected,ISIC_0027522
359,0.6079,selected,ISIC_0025924
794,0.6323,selected,ISIC_0033158
1112,0.532,selected,ISIC_0032919
1676,0.5344,selected,ISIC_0031276
1639,0.5363,selected,ISIC_0028714
1228,0.5756,selected,ISIC_0031346
1831,0.638,selected,ISIC_0030770
1209,0.6308,selected,ISIC_0032890
533,0.56,selected,ISIC_0029099
230,0.5992,selected,ISIC_0027522
1867,0.5863,selected,ISIC_0033991
1499,0.5533,selected,ISIC_0028680
755,0.5627,selected,ISIC_0025807
1731,0.5423,selected,ISIC_0031759
1321,0.5979,selected,ISIC_0033991
50,0.5981,selected,ISIC_0032890
953,0.6291,selected,ISIC_0031197
208,0.6466,selected,ISIC_0028680
586,0.5636,selected,ISIC_0033450
997,0.6291,selected,ISIC_0025924
791,0.59,selected,ISIC_0024867
1998,0.5034,selected,ISIC_0028680
236,0.6694,selected,ISIC_0032867
568,0.6352,selected,ISIC_0031197
1358,0.5624,selected,ISIC_0033158
1712,0.536,selected,ISIC_0033991
1881,0.5929,selected,ISIC_0033844
727,0.6196,selected,ISIC_0031759
922,0.5104,selected,ISIC_0033135
1514,0.5993,selected,ISIC_0032890
1145,0.6026,selected,ISIC_0033254
517,0.571,selected,ISIC_0032890
301,0.5994,selected,ISIC_0031648
710,0.6026,selected,ISIC_0032890
1644,0.6643,selected,ISIC_0031276
1749,0.5597,selected,ISIC_0024706
1560,0.5274,selected,ISIC_0033135
1830,0.5066,selected,ISIC_0033991
1456,0.5898,selected,ISIC_0026163
1990,0.6354,selected,ISIC_0024375
1097,0.5063,selected,ISIC_0029099
983,0.589,selected,ISIC_0032890
826,0.6575,selected,ISIC_0033991
978,0.5092,selected,ISIC_0033991
36,0.5926,selected,ISIC_0028680
1060,0.6673,selected,ISIC_0029099
824,0.614,selected,ISIC_0026349
85,0.5144,selected,ISIC_0031276
1858,0.5314,selected,ISIC_0033991
1019,0.6518,selected,ISIC_0028714
1929,0.6307,selected,ISIC_0031648
698,0.6188,selected,ISIC_0032890
342,0.5625,selected,ISIC_0032890
1672,0.6088,selected,ISIC_0033123
1691,0.5371,selected,ISIC_0033991
34,0.6252,selected,ISIC_0029099
544,0.5272,selected,ISIC_0028680
1542,0.604,selected,ISIC_0024706
708,0.5759,selected,ISIC_0033844
1048,0.5387,selected,ISIC_0026163
95,0.547,selected,ISIC_0033135
609,0.6479,selected,ISIC_0027522
1693,0.4736,selected,ISIC_0033991
848,0.6412,selected,ISIC_0031759
1969,0.648,selected,ISIC_0027563
1289,0.6376,selected,ISIC_0031276
1336,0.5256,selected,ISIC_0033991
226,0.6526,selected,ISIC_0024867
1212,0.5692,selected,ISIC_0026163
125,0.5943,selected,ISIC_0033991
1155,0.6742,selected,ISIC_0024706
1793,0.5861,selected,ISIC_0033844
1174,0.4889,selected,ISIC_0028680
625,0.6567,selected,ISIC_0027856
118,0.6049,selected,ISIC_0032538
1540,0.594,selected,ISIC_0033254
1934,0.6021,selected,ISIC_0029099
515,0.6408,selected,ISIC_0026163
1627,0.4866,selected,ISIC_0031759
1522,0.5333,selected,ISIC_0033817
1366,0.5565,selected,ISIC_0029099
478,0.6755,selected,ISIC_0031276
1880,0.6572,selected,ISIC_0031996
1063,0.5986,selected,ISIC_0029099
1869,0.6144,selected,ISIC_0032867
1264,0.6406,selected,ISIC_0024706
1031,0.6256,selected,ISIC_0027856
375,0.6556,selected,ISIC_0027522
1435,0.5391,selected,ISIC_0032919
1054,0.5323,selected,ISIC_0029099
1342,0.608,selected,ISIC_0028680
527,0.6037,selected,ISIC_0030956
