a_image_id,b_image_id,lam,similarity
ISIC_0025302,ISIC_0031344,0.4389,0.8618
ISIC_0027598,ISIC_0025594,0.6974,0.8824
ISIC_0025903,ISIC_0024553,0.9756,0.8403
ISIC_0031002,ISIC_0024396,0.7861,0.842
ISIC_0028735,ISIC_0024330,0.4504,0.8509
ISIC_0028651,ISIC_0027216,0.9268,0.8798
ISIC_0031344,ISIC_0025302,0.8228,0.8618
ISIC_0028880,ISIC_0027745,0.2272,0.7537
ISIC_0025302,ISIC_0025154,0.0638,0.8952
ISIC_0032247,ISIC_0031344,0.6317,0.807
ISIC_0025622,ISIC_0030015,0.3545,0.8291
ISIC_0024553,ISIC_0027141,0.8931,0.7795
ISIC_0030321,ISIC_0034169,0.1946,0.8033
ISIC_0027107,ISIC_0025622,0.0438,0.7815
ISIC_0028880,ISIC_0031257,0.683,0.7605
ISIC_0033256,ISIC_0033891,0.9675,0.7998
ISIC_0027216,ISIC_0025314,0.3705,0.9078
ISIC_0025154,ISIC_0025302,0.1895,0.8952
ISIC_0027727,ISIC_0026789,0.4757,0.8908
ISIC_0027008,ISIC_0032138,0.6698,0.8966
ISIC_0033554,ISIC_0029039,0.8327,0.8495
ISIC_0029297,ISIC_0025911,0.3124,0.8592
ISIC_0031309,ISIC_0025668,0.8048,0.7712
ISIC_0032138,ISIC_0025154,0.2883,0.9082
ISIC_0026254,ISIC_0031257,0.1398,0.83
ISIC_0032138,ISIC_0025302,0.0074,0.9182
ISIC_0031429,ISIC_0031257,0.6649,0.7778
ISIC_0027745,ISIC_0031257,0.7807,0.8399
ISIC_0028926,ISIC_0025154,0.5687,0.8973
ISIC_0024386,ISIC_0025314,0.1145,0.8745
ISIC_0027648,ISIC_0025622,0.4711,0.805
ISIC_0032247,ISIC_0025771,0.765,0.8208
ISIC_0029039,ISIC_0025302,0.5536,0.8448
ISIC_0025302,ISIC_0025154,0.304,0.8952
ISIC_0029130,ISIC_0031799,0.4367,0.9576
ISIC_0033891,ISIC_0031002,0.4085,0.9088
ISIC_0034169,ISIC_0033891,0.2339,0.84
ISIC_0032114,ISIC_0031257,0.2814,0.7908
ISIC_0033256,ISIC_0033005,0.6619,0.8103
ISIC_0025373,ISIC_0032138,0.7839,0.8743
ISIC_0034169,ISIC_0028790,0.4064,0.8484
ISIC_0027216,ISIC_0030870,0.167,0.8964
ISIC_0027008,ISIC_0024396,0.09,0.9311
ISIC_0031309,ISIC_0027141,0.4619,0.777
ISIC_0030830,ISIC_0026629,0.501,0.8785
ISIC_0033554,ISIC_0030870,0.6963,0.8703
ISIC_0028651,ISIC_0029177,0.381,0.8775
ISIC_0025980,ISIC_0027141,0.6303,0.8665
ISIC_0029177,ISIC_0027216,0.0876,0.8855
ISIC_0027044,ISIC_0028651,0.9619,0.8511
ISIC_0027118,ISIC_0027008,0.6997,0.8426
ISIC_0027727,ISIC_0026473,0.9692,0.8387
ISIC_0026417,ISIC_0027745,0.7169,0.7763
ISIC_0031429,ISIC_0026789,0.2722,0.7921
ISIC_0025154,ISIC_0032138,0.9026,0.9082
ISIC_0025504,ISIC_0028346,0.2024,0.8461
ISIC_0030870,ISIC_0027216,0.5792,0.8964
ISIC_0028880,ISIC_0031257,0.8566,0.7605
ISIC_0024330,ISIC_0025980,0.7195,0.7909
ISIC_0030021,ISIC_0033891,0.6273,0.8755
ISIC_0025504,ISIC_0028346,0.6498,0.8461
ISIC_0029297,ISIC_0030870,0.4158,0.8765
ISIC_0031344,ISIC_0025154,0.494,0.8912
ISIC_0025771,ISIC_0032138,0.1445,0.8973
ISIC_0030321,ISIC_0025622,0.5876,0.8383
ISIC_0031429,ISIC_0030870,0.9251,0.8021
ISIC_0034169,ISIC_0028926,0.3469,0.8646
ISIC_0029177,ISIC_0025314,0.0228,0.8792
ISIC_0025594,ISIC_0026629,0.4823,0.8771
ISIC_0027745,ISIC_0031257,0.0827,0.8399
ISIC_0026471,ISIC_0025668,0.4907,0.8002
ISIC_0027648,ISIC_0032138,0.5717,0.8018
ISIC_0028880,ISIC_0027745,0.267,0.7537
ISIC_0033695,ISIC_0029297,0.5207,0.8483
ISIC_0032247,ISIC_0025771,0.0216,0.8208
ISIC_0027107,ISIC_0027141,0.8962,0.7679
ISIC_0028880,ISIC_0031257,0.554,0.7605
ISIC_0026789,ISIC_0027727,0.6722,0.8908
ISIC_0025373,ISIC_0027598,0.6594,0.8757
ISIC_0030870,ISIC_0032138,0.7686,0.8818
ISIC_0026789,ISIC_0027727,0.916,0.8908
ISIC_0033891,ISIC_0031002,0.0374,0.9088
ISIC_0025594,ISIC_0031799,0.3709,0.8856
ISIC_0026789,ISIC_0032138,0.8083,0.808
ISIC_0033810,ISIC_0032138,0.9529,0.8567
ISIC_0029824,ISIC_0028926,0.5151,0.8266
ISIC_0033005,ISIC_0024396,0.936,0.8536
ISIC_0025668,ISIC_0025980,0.0449,0.85
ISIC_0026629,ISIC_0025594,0.9924,0.8771
ISIC_0025594,ISIC_0026629,0.7486,0.8771
ISIC_0032247,ISIC_0031344,0.8934,0.807
ISIC_0025373,ISIC_0032138,0.3159,0.8743
ISIC_0024330,ISIC_0025980,0.6617,0.7909
