a_image_id,b_image_id,lam,similarity
ISIC_0024904,ISIC_0032240,0.4389,0.842
ISIC_0028188,ISIC_0033844,0.6974,0.8611
ISIC_0025807,ISIC_0032867,0.9756,0.8954
ISIC_0032240,ISIC_0027522,0.7861,0.8793
ISIC_0029514,ISIC_0032919,0.4504,0.8933
ISIC_0029448,ISIC_0027563,0.9268,0.8307
ISIC_0032614,ISIC_0031759,0.8228,0.866
ISIC_0030283,ISIC_0025628,0.2272,0.9036
ISIC_0025249,ISIC_0028406,0.0638,0.8563
ISIC_0032919,ISIC_0033158,0.6317,0.8849
ISIC_0025628,ISIC_0025680,0.3545,0.9175
ISIC_0024747,ISIC_0025873,0.8931,0.8468
ISIC_0031759,ISIC_0032919,0.1946,0.8765
ISIC_0027563,ISIC_0024867,0.0438,0.8886
ISIC_0030722,ISIC_0027672,0.683,0.8216
ISIC_0033450,ISIC_0033135,0.9675,0.8636
ISIC_0027888,ISIC_0026336,0.3705,0.8773
ISIC_0024867,ISIC_0031215,0.1895,0.8949
ISIC_0028680,ISIC_0025628,0.4757,0.8943
ISIC_0027210,ISIC_0033817,0.6698,0.9196
ISIC_0033591,ISIC_0025321,0.8327,0.855
ISIC_0031270,ISIC_0025321,0.3124,0.8521
ISIC_0032545,ISIC_0033969,0.8048,0.8598
ISIC_0032890,ISIC_0032932,0.2883,0.8976
ISIC_0026092,ISIC_0031996,0.1398,0.824
ISIC_0032867,ISIC_0025807,0.0074,0.8954
ISIC_0032692,ISIC_0031996,0.6649,0.8082
ISIC_0028714,ISIC_0032240,0.7807,0.8665
ISIC_0030770,ISIC_0032919,0.5687,0.892
ISIC_0024475,ISIC_0026467,0.1145,0.8574
ISIC_0028406,ISIC_0026393,0.4711,0.8964
ISIC_0032919,ISIC_0029514,0.765,0.8933
ISIC_0030882,ISIC_0031706,0.5536,0.8069
ISIC_0024904,ISIC_0032545,0.304,0.845
ISIC_0031103,ISIC_0029608,0.4367,0.914
ISIC_0033969,ISIC_0033450,0.4085,0.863
ISIC_0033991,ISIC_0031276,0.2339,0.87
ISIC_0032866,ISIC_0032890,0.2814,0.8685
ISIC_0033349,ISIC_0032890,0.6619,0.8725
ISIC_0025425,ISIC_0031706,0.7839,0.8341
ISIC_0033991,ISIC_0024706,0.4064,0.8729
ISIC_0027903,ISIC_0032866,0.167,0.7961
ISIC_0027256,ISIC_0029608,0.09,0.8781
ISIC_0032545,ISIC_0032240,0.4619,0.8661
ISIC_0031996,ISIC_0032932,0.501,0.8799
ISIC_0033565,ISIC_0032076,0.6963,0.8357
ISIC_0029448,ISIC_0033254,0.381,0.8254
ISIC_0026092,ISIC_0024370,0.6303,0.8379
ISIC_0031197,ISIC_0031103,0.0876,0.8968
ISIC_0027256,ISIC_0029608,0.9619,0.8781
ISIC_0027563,ISIC_0024375,0.6997,0.8804
ISIC_0028680,ISIC_0026068,0.9692,0.8915
ISIC_0026349,ISIC_0024662,0.7169,0.8275
ISIC_0032692,ISIC_0026349,0.2722,0.8153
ISIC_0024867,ISIC_0028406,0.9026,0.9073
ISIC_0025425,ISIC_0031706,0.2024,0.8341
ISIC_0032076,ISIC_0027672,0.5792,0.8699
ISIC_0030722,ISIC_0027672,0.8566,0.8216
ISIC_0024375,ISIC_0030283,0.7195,0.8743
ISIC_0031648,ISIC_0032545,0.6273,0.8359
ISIC_0025452,ISIC_0025628,0.6498,0.9056
ISIC_0031270,ISIC_0032919,0.4158,0.8783
ISIC_0032614,ISIC_0033135,0.494,0.8798
ISIC_0025707,ISIC_0031215,0.1445,0.8661
ISIC_0031759,ISIC_0029889,0.5876,0.8913
ISIC_0032692,ISIC_0031648,0.9251,0.8419
ISIC_0033969,ISIC_0033158,0.3469,0.8601
ISIC_0031197,ISIC_0025628,0.0228,0.8886
ISIC_0025578,ISIC_0031103,0.4823,0.8215
ISIC_0028714,ISIC_0032240,0.0827,0.8665
