config,method,seed,threshold,val_f1_tuned,test_AP,logged_f1,default_precision,default_recall,default_f1,default_caught,default_false_alarms,default_macro_f1,tuned_precision,tuned_recall,tuned_f1,tuned_caught,tuned_false_alarms,tuned_macro_f1
baseline_no_aug,Baseline (no aug),42,0.45,0.5128205128205128,0.5575596754746853,0.5,0.5625,0.45,0.5,9,7,0.6843222244095889,0.6428571428571429,0.45,0.5294117647058824,9,5,0.6894010515306015
baseline_no_aug,Baseline (no aug),43,0.06,0.3384615384615385,0.6801196117995629,0.4828,0.7777777777777778,0.35,0.4827586206896552,7,2,0.6610663523432422,0.5172413793103449,0.75,0.6122448979591837,15,14,0.685057677162166
baseline_no_aug,Baseline (no aug),44,0.06,0.5245901639344263,0.6082214797607385,0.5882,0.7142857142857143,0.5,0.5882352941176471,10,4,0.6873910034252507,0.45714285714285713,0.8,0.5818181818181818,16,19,0.6895686663765563
oversample_only,Oversample only,42,0.31,0.45714285714285713,0.7094705402664016,0.5161,0.7272727272727273,0.4,0.5161290322580645,8,3,0.68927865119482,0.7333333333333333,0.55,0.6285714285714286,11,4,0.7058646164588972
oversample_only,Oversample only,43,0.21,0.5,0.7263803435126965,0.625,0.8333333333333334,0.5,0.625,10,2,0.6908548696386988,0.8571428571428571,0.6,0.7058823529411765,12,2,0.7034535568437523
oversample_only,Oversample only,44,0.46,0.5454545454545454,0.6411152480469009,0.4516,0.6363636363636364,0.35,0.45161290322580644,7,4,0.651660366801887,0.75,0.3,0.42857142857142855,6,2,0.6504256190211836
classic_aug,Classic aug,42,0.79,0.4,0.6731430762343961,0.6087,0.5384615384615384,0.7,0.6086956521739131,14,12,0.6978726020147276,0.8,0.6,0.6857142857142857,12,3,0.7122531427136894
classic_aug,Classic aug,43,0.26,0.4444444444444444,0.6516768284933686,0.55,0.55,0.55,0.55,11,9,0.6765897161773294,0.48,0.6,0.5333333333333333,12,13,0.6719477000284416
classic_aug,Classic aug,44,0.56,0.4444444444444444,0.7176678271012339,0.7027,0.7647058823529411,0.65,0.7027027027027027,13,4,0.7101369317422993,0.8571428571428571,0.6,0.7058823529411765,12,2,0.7127126552057862
smote_interp,SMOTE interp.,42,0.34,0.4,0.6628360491076041,0.5625,0.75,0.45,0.5625,9,3,0.6998284393478125,0.8,0.6,0.6857142857142857,12,3,0.719477157616442
smote_interp,SMOTE interp.,43,0.32,0.5641025641025641,0.6898714997551152,0.6471,0.7857142857142857,0.55,0.6470588235294118,11,3,0.7010220865998311,0.5789473684210527,0.55,0.5641025641025641,11,8,0.6885666586542027
smote_interp,SMOTE interp.,44,0.24,0.5365853658536586,0.7144782402161172,0.7027,0.7647058823529411,0.65,0.7027027027027027,13,4,0.6869209706663822,0.7,0.7,0.7,14,6,0.6852639997187573
gan_aug,GAN aug,42,0.22,0.38095238095238093,0.7532574008925293,0.6471,0.7857142857142857,0.55,0.6470588235294118,11,3,0.7128073570916532,0.6666666666666666,0.7,0.6829268292682927,14,7,0.71486231325932
gan_aug,GAN aug,43,0.48,0.3870967741935484,0.676145311241659,0.6,0.9,0.45,0.6,9,1,0.6946440833404873,0.9,0.45,0.6,9,1,0.6946440833404873
gan_aug,GAN aug,44,0.04,0.4642857142857143,0.772379479883321,0.7222,0.8125,0.65,0.7222222222222222,13,3,0.6977674839224556,0.4594594594594595,0.85,0.5964912280701754,17,20,0.676386258281797
