config,method,seed,threshold,val_f1_tuned,test_AP,logged_f1,default_precision,default_recall,default_f1,default_caught,default_false_alarms,default_macro_f1,tuned_precision,tuned_recall,tuned_f1,tuned_caught,tuned_false_alarms,tuned_macro_f1
baseline_no_aug,Baseline (no aug),42,0.14,0.7894736842105263,0.8362640642011475,0.8,0.8421052631578947,0.7619047619047619,0.8,16,3,0.6813107373279845,0.64,0.7619047619047619,0.6956521739130435,16,9,0.6675986309223063
baseline_no_aug,Baseline (no aug),43,0.12,0.6363636363636364,0.8036509871388281,0.7692,0.8333333333333334,0.7142857142857143,0.7692307692307693,15,3,0.6580563661792319,0.7391304347826086,0.8095238095238095,0.7727272727272727,17,6,0.6578908960928012
baseline_no_aug,Baseline (no aug),44,0.03,0.68,0.828964023916285,0.7429,0.9285714285714286,0.6190476190476191,0.7428571428571429,13,1,0.6808151754738685,0.5454545454545454,0.8571428571428571,0.6666666666666666,18,15,0.6662768053619689
oversample_only,Oversample only,42,0.06,0.7692307692307693,0.8612620705557898,0.8205,0.8888888888888888,0.7619047619047619,0.8205128205128205,16,2,0.6976637466007355,0.7727272727272727,0.8095238095238095,0.7906976744186046,17,5,0.6925906314541457
oversample_only,Oversample only,43,0.25,0.6857142857142857,0.8495877811930787,0.8333,1.0,0.7142857142857143,0.8333333333333334,15,0,0.6988381340998063,1.0,0.7142857142857143,0.8333333333333334,15,0,0.6988381340998063
oversample_only,Oversample only,44,0.25,0.7428571428571429,0.8841074115959704,0.7647,1.0,0.6190476190476191,0.7647058823529411,13,0,0.6346080931466593,0.9333333333333333,0.6666666666666666,0.7777777777777778,14,1,0.6369171944096049
classic_aug,Classic aug,42,0.2,0.8095238095238095,0.8657051365928984,0.8108,0.9375,0.7142857142857143,0.8108108108108109,15,1,0.6926318459852444,0.8823529411764706,0.7142857142857143,0.7894736842105263,15,2,0.6878361970563267
classic_aug,Classic aug,43,0.36,0.8780487804878049,0.8348983438032032,0.7895,0.8823529411764706,0.7142857142857143,0.7894736842105263,15,2,0.6939199181906798,0.8333333333333334,0.7142857142857143,0.7692307692307693,15,3,0.6909532623319523
classic_aug,Classic aug,44,0.15,0.8,0.9017217096497118,0.85,0.8947368421052632,0.8095238095238095,0.85,17,2,0.7018476182275,0.6551724137931034,0.9047619047619048,0.76,19,10,0.6837218590480069
smote_interp,SMOTE interp.,42,0.17,0.7692307692307693,0.8974149525048704,0.8205,0.8888888888888888,0.7619047619047619,0.8205128205128205,16,2,0.7039095919097075,0.8571428571428571,0.8571428571428571,0.8571428571428571,18,3,0.7095976622927022
smote_interp,SMOTE interp.,43,0.13,0.75,0.8509359418739001,0.75,0.7894736842105263,0.7142857142857143,0.75,15,4,0.6826680929546098,0.7272727272727273,0.7619047619047619,0.7441860465116279,16,6,0.6819461457901167
smote_interp,SMOTE interp.,44,0.07,0.717948717948718,0.8732540280760277,0.8718,0.9444444444444444,0.8095238095238095,0.8717948717948718,17,1,0.7015260077427765,0.6923076923076923,0.8571428571428571,0.7659574468085106,18,8,0.6811174850116625
gan_aug,GAN aug,42,0.16,0.6857142857142857,0.8009376672825479,0.7778,0.9333333333333333,0.6666666666666666,0.7777777777777778,14,1,0.6905977512370528,0.8235294117647058,0.6666666666666666,0.7368421052631579,14,3,0.6849742377729042
gan_aug,GAN aug,43,0.13,0.75,0.8470091164234614,0.8108,0.9375,0.7142857142857143,0.8108108108108109,15,1,0.6906062978537403,0.8095238095238095,0.8095238095238095,0.8095238095238095,17,4,0.6869795463336297
gan_aug,GAN aug,44,0.1,0.7368421052631579,0.8585791799237179,0.8649,1.0,0.7619047619047619,0.8648648648648649,16,0,0.6873501429056451,0.75,0.8571428571428571,0.8,18,6,0.6797806694198617
