image_id,lesion_id,Baseline (no aug),Oversample only,Classic aug,SMOTE interp.,GAN aug
ISIC_0024994,HAM_0002960,1.0,1.0,1.0,1.0,1.0
ISIC_0025223,HAM_0000827,1.0,1.0,1.0,0.67,1.0
ISIC_0026313,HAM_0007418,0.33,0.0,0.67,0.0,0.33
ISIC_0027488,HAM_0003597,1.0,1.0,1.0,0.67,1.0
ISIC_0029760,HAM_0004330,0.33,0.0,0.67,0.67,0.0
ISIC_0029962,HAM_0007410,0.0,0.0,1.0,0.0,0.33
ISIC_0029973,HAM_0002045,0.67,1.0,0.33,1.0,1.0
ISIC_0030555,HAM_0004330,0.0,0.0,0.33,0.67,0.0
ISIC_0030579,HAM_0002546,0.67,0.33,1.0,0.67,1.0
ISIC_0030757,HAM_0003290,0.0,0.0,0.0,0.0,0.0
ISIC_0031271,HAM_0004090,1.0,1.0,1.0,1.0,1.0
ISIC_0031358,HAM_0003290,0.0,0.0,0.0,0.0,0.0
ISIC_0031372,HAM_0007418,0.0,0.0,0.0,0.0,0.33
ISIC_0031443,HAM_0000827,0.33,0.67,0.33,0.67,0.67
ISIC_0031457,HAM_0007410,0.0,0.33,0.33,0.67,0.0
ISIC_0031735,HAM_0003290,0.0,0.0,0.0,0.0,0.0
ISIC_0032642,HAM_0002909,0.33,0.0,1.0,0.33,0.67
ISIC_0033422,HAM_0003597,0.67,0.67,1.0,1.0,0.67
ISIC_0033675,HAM_0002909,0.33,0.33,1.0,1.0,1.0
ISIC_0033790,HAM_0002909,1.0,1.0,1.0,1.0,1.0
